colour_code,colour_name,product_line,set_size_ct,included
157,dark indigo,Albrecht Durer watercolour pencils,72,1
157,dark indigo,Albrecht Durer Magnus,30,1
157,dark indigo,Pitt Pastel pencils,36,1
157,dark indigo,Pitt Pastel pencils,60,1
158,deep cobalt green,Polychromos colour pencils,60,1
158,deep cobalt green,Polychromos colour pencils,72,1
158,deep cobalt green,Polychromos Pastels,60,1
158,deep cobalt green,Albrecht Durer watercolour pencils,60,1
158,deep cobalt green,Albrecht Durer watercolour pencils,72,1
159,Hooker´s green,Polychromos Pastels,36,1
159,Hooker´s green,Polychromos Pastels,60,1
159,Hooker´s green,Pitt Pastel pencils,24,1
159,Hooker´s green,Pitt Pastel pencils,36,1
159,Hooker´s green,Pitt Pastel pencils,60,1
160,manganese violet,Polychromos Pastels,24,1
160,manganese violet,Polychromos Pastels,36,1
160,manganese violet,Polychromos Pastels,60,1
160,manganese violet,Pitt Pastel pencils,60,1
161,phthalo green,Polychromos colour pencils,72,1
161,phthalo green,Albrecht Durer watercolour pencils,72,1
163,emerald green,Polychromos colour pencils,12,1
163,emerald green,Polychromos colour pencils,24,1
163,emerald green,Polychromos colour pencils,36,1
163,emerald green,Polychromos colour pencils,60,1
163,emerald green,Polychromos colour pencils,72,1
163,emerald green,Polychromos Pastels,60,1
163,emerald green,Albrecht Durer watercolour pencils,12,1
163,emerald green,Albrecht Durer watercolour pencils,24,1
163,emerald green,Albrecht Durer watercolour pencils,36,1
163,emerald green,Albrecht Durer watercolour pencils,60,1
163,emerald green,Albrecht Durer watercolour pencils,72,1
163,emerald green,Albrecht Durer Magnus,12,1
163,emerald green,Albrecht Durer Magnus,24,1
163,emerald green,Albrecht Durer Magnus,30,1
165,juniper green,Polychromos colour pencils,60,1
165,juniper green,Polychromos colour pencils,72,1
165,juniper green,Albrecht Durer watercolour pencils,60,1
165,juniper green,Albrecht Durer watercolour pencils,72,1
165,juniper green,Pitt Pastel pencils,36,1
165,juniper green,Pitt Pastel pencils,60,1
166,grass green,Polychromos Pastels,60,1
167,permanent green olive,Polychromos Pastels,24,1
167,permanent green olive,Polychromos Pastels,36,1
167,permanent green olive,Polychromos Pastels,60,1
167,permanent green olive,Pitt Pastel pencils,12,1
167,permanent green olive,Pitt Pastel pencils,24,1
167,permanent green olive,Pitt Pastel pencils,36,1
167,permanent green olive,Pitt Pastel pencils,60,1
168,earth green yellowish,Polychromos colour pencils,24,1
168,earth green yellowish,Polychromos colour pencils,36,1
168,earth green yellowish,Polychromos colour pencils,60,1
168,earth green yellowish,Polychromos colour pencils,72,1
168,earth green yellowish,Polychromos Pastels,24,1
168,earth green yellowish,Polychromos Pastels,36,1
168,earth green yellowish,Polychromos Pastels,60,1
168,earth green yellowish,Albrecht Durer watercolour pencils,24,1
168,earth green yellowish,Albrecht Durer watercolour pencils,36,1
168,earth green yellowish,Albrecht Durer watercolour pencils,60,1
168,earth green yellowish,Albrecht Durer watercolour pencils,72,1
168,earth green yellowish,Albrecht Durer Magnus,24,1
168,earth green yellowish,Albrecht Durer Magnus,30,1
168,earth green yellowish,Pitt Pastel pencils,12,1
168,earth green yellowish,Pitt Pastel pencils,24,1
168,earth green yellowish,Pitt Pastel pencils,36,1
168,earth green yellowish,Pitt Pastel pencils,60,1
169,caput mortuum,Polychromos Pastels,60,1
169,caput mortuum,Pitt Pastel pencils,60,1
170,may green,Pitt Pastel pencils,60,1
171,light green,Polychromos colour pencils,12,1
171,light green,Polychromos colour pencils,24,1
171,light green,Polychromos colour pencils,36,1
171,light green,Polychromos colour pencils,60,1
171,light green,Polychromos colour pencils,72,1
171,light green,Polychromos Pastels,60,1
171,light green,Albrecht Durer watercolour pencils,12,1
171,light green,Albrecht Durer watercolour pencils,24,1
171,light green,Albrecht Durer watercolour pencils,36,1
171,light green,Albrecht Durer watercolour pencils,60,1
171,light green,Albrecht Durer watercolour pencils,72,1
171,light green,Albrecht Durer Magnus,12,1
171,light green,Albrecht Durer Magnus,24,1
171,light green,Albrecht Durer Magnus,30,1
172,earth green,Polychromos colour pencils,72,1
172,earth green,Albrecht Durer watercolour pencils,72,1
172,earth green,Pitt Pastel pencils,36,1
172,earth green,Pitt Pastel pencils,60,1
173,olive green yellowish,Polychromos colour pencils,60,1
173,olive green yellowish,Polychromos colour pencils,72,1
173,olive green yellowish,Albrecht Durer watercolour pencils,60,1
173,olive green yellowish,Albrecht Durer watercolour pencils,72,1
173,olive green yellowish,Pitt Pastel pencils,24,1
173,olive green yellowish,Pitt Pastel pencils,36,1
173,olive green yellowish,Pitt Pastel pencils,60,1
174,chromium green opaque,Polychromos colour pencils,60,1
174,chromium green opaque,Polychromos colour pencils,72,1
174,chromium green opaque,Polychromos Pastels,60,1
174,chromium green opaque,Albrecht Durer watercolour pencils,60,1
174,chromium green opaque,Albrecht Durer watercolour pencils,72,1
174,chromium green opaque,Pitt Pastel pencils,60,1
175,dark sepia,Pitt Pastel pencils,60,1
176,VanDyckbrown,Polychromos colour pencils,60,1
176,VanDyckbrown,Polychromos colour pencils,72,1
176,VanDyckbrown,Albrecht Durer watercolour pencils,60,1
176,VanDyckbrown,Albrecht Durer watercolour pencils,72,1
176,VanDyckbrown,Pitt Pastel pencils,60,1
177,walnut brown,Polychromos colour pencils,12,1
177,walnut brown,Polychromos colour pencils,24,1
177,walnut brown,Polychromos colour pencils,36,1
177,walnut brown,Polychromos colour pencils,60,1
177,walnut brown,Polychromos colour pencils,72,1
177,walnut brown,Polychromos Pastels,24,1
177,walnut brown,Polychromos Pastels,36,1
177,walnut brown,Polychromos Pastels,60,1
177,walnut brown,Albrecht Durer watercolour pencils,12,1
177,walnut brown,Albrecht Durer watercolour pencils,24,1
177,walnut brown,Albrecht Durer watercolour pencils,36,1
177,walnut brown,Albrecht Durer watercolour pencils,60,1
177,walnut brown,Albrecht Durer watercolour pencils,72,1
177,walnut brown,Albrecht Durer Magnus,12,1
177,walnut brown,Albrecht Durer Magnus,24,1
177,walnut brown,Albrecht Durer Magnus,30,1
177,walnut brown,Pitt Pastel pencils,24,1
177,walnut brown,Pitt Pastel pencils,36,1
177,walnut brown,Pitt Pastel pencils,60,1
179,bistre,Pitt Pastel pencils,36,1
179,bistre,Pitt Pastel pencils,60,1
180,raw umber,Polychromos colour pencils,24,1
180,raw umber,Polychromos colour pencils,36,1
180,raw umber,Polychromos colour pencils,60,1
180,raw umber,Polychromos colour pencils,72,1
180,raw umber,Polychromos Pastels,36,1
180,raw umber,Polychromos Pastels,60,1
180,raw umber,Albrecht Durer watercolour pencils,24,1
180,raw umber,Albrecht Durer watercolour pencils,36,1
180,raw umber,Albrecht Durer watercolour pencils,60,1
180,raw umber,Albrecht Durer watercolour pencils,72,1
180,raw umber,Albrecht Durer Magnus,24,1
180,raw umber,Albrecht Durer Magnus,30,1
180,raw umber,Pitt Pastel pencils,60,1
181,Payne´s grey,Pitt Pastel pencils,60,1
182,brown ochre,Pitt Pastel pencils,60,1
183,light yellow ochre,Pitt Pastel pencils,24,1
183,light yellow ochre,Pitt Pastel pencils,36,1
183,light yellow ochre,Pitt Pastel pencils,60,1
184,dark Naples ochre,Polychromos colour pencils,36,1
184,dark Naples ochre,Polychromos colour pencils,60,1
184,dark Naples ochre,Polychromos colour pencils,72,1
184,dark Naples ochre,Albrecht Durer watercolour pencils,36,1
184,dark Naples ochre,Albrecht Durer watercolour pencils,60,1
184,dark Naples ochre,Albrecht Durer watercolour pencils,72,1
184,dark Naples ochre,Pitt Pastel pencils,60,1
185,Naples yellow,Polychromos colour pencils,60,1
185,Naples yellow,Polychromos colour pencils,72,1
185,Naples yellow,Albrecht Durer watercolour pencils,60,1
185,Naples yellow,Albrecht Durer watercolour pencils,72,1
185,Naples yellow,Pitt Pastel pencils,60,1
186,terracotta,Pitt Pastel pencils,60,1
187,burnt ochre,Albrecht Durer watercolour pencils,12,1
187,burnt ochre,Albrecht Durer watercolour pencils,24,1
187,burnt ochre,Albrecht Durer watercolour pencils,36,1
187,burnt ochre,Albrecht Durer watercolour pencils,60,1
187,burnt ochre,Albrecht Durer watercolour pencils,72,1
187,burnt ochre,Albrecht Durer Magnus,12,1
187,burnt ochre,Albrecht Durer Magnus,24,1
187,burnt ochre,Albrecht Durer Magnus,30,1
187,burnt ochre,Pitt Pastel pencils,36,1
187,burnt ochre,Pitt Pastel pencils,60,1
187,burnt ochre,Polychromos colour pencils,12,1
187,burnt ochre,Polychromos colour pencils,24,1
187,burnt ochre,Polychromos colour pencils,36,1
187,burnt ochre,Polychromos colour pencils,60,1
187,burnt ochre,Polychromos colour pencils,72,1
188,sanguine,Polychromos colour pencils,60,1
188,sanguine,Polychromos colour pencils,72,1
188,sanguine,Albrecht Durer watercolour pencils,60,1
188,sanguine,Albrecht Durer watercolour pencils,72,1
188,sanguine,Pitt Pastel pencils,36,1
188,sanguine,Pitt Pastel pencils,60,1
189,cinnamon,Polychromos colour pencils,72,1
189,cinnamon,Albrecht Durer watercolour pencils,72,1
189,cinnamon,Pitt Pastel pencils,60,1
